Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63,Dim_64,Dim_65,Dim_66,Dim_67,Dim_68,Dim_69,Dim_70,Dim_71,Dim_72,Dim_73,Dim_74,Dim_75,Dim_76,Dim_77,Dim_78,Dim_79,Dim_80,Dim_81,Dim_82,Dim_83,Dim_84,Dim_85,Dim_86,Dim_87,Dim_88,Dim_89,Dim_90,Dim_91,Dim_92,Dim_93,Dim_94,Dim_95,Dim_96,Dim_97,Dim_98,Dim_99,Dim_100
0.0,0.0,0.0,0.0,0.11636342108249664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12813685834407806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19757768511772156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4340839982032776,0.0,0.04471280425786972,0.0,0.0,0.0,0.321015864610672,0.0,0.0,0.0,0.0,0.0,0.28958386182785034,0.11472387611865997,0.0,0.0,0.0,0.0,0.0,0.21918104588985443,0.0,0.0,0.0,0.27414795756340027,0.0,0.0,0.38690587878227234,0.2689911723136902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21059614419937134,0.24709273874759674,0.0,0.0,0.40749743580818176,0.0,0.24731123447418213,0.0,0.0,0.15315848588943481,0.1697281152009964,0.0,0.16082245111465454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09304625540971756
0.0,0.0,0.0,0.0,0.05831385776400566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14090821146965027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2342943549156189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1545187383890152,0.0,0.04349508881568909,0.0,0.0,0.0,0.24497158825397491,0.0,0.0,0.0,0.0,0.0,0.12923482060432434,0.0400981605052948,0.0,0.0,0.0,0.0,0.0,0.04186123237013817,0.0,0.0,0.0,0.07132329791784286,0.0,0.0,0.45939308404922485,0.041952647268772125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19425447285175323,0.22366856038570404,0.0,0.0,0.33834969997406006,0.0,0.24246066808700562,0.0,0.0,0.07995009422302246,0.18471784889698029,0.0,0.05229584127664566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024668700993061066
0.0,0.0,0.0,0.0,0.054429445415735245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11218830943107605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16038216650485992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10601691156625748,0.0,0.025434084236621857,0.0,0.0,0.0,0.23292601108551025,0.0,0.0,0.0,0.0,0.0,0.10904429852962494,0.025447005406022072,0.0,0.0,0.0,0.0,0.0,0.015819396823644638,0.0,0.0,0.0,0.026643700897693634,0.0,0.0,0.34182676672935486,0.0386350154876709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13564978539943695,0.2137899547815323,0.0,0.0,0.2816202938556671,0.0,0.18555471301078796,0.0,0.0,0.04488416016101837,0.17443214356899261,0.0,0.04075843095779419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027791094034910202
0.0,0.0,0.0,0.0,0.059141624718904495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09380237758159637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15648920834064484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1379309743642807,0.0,0.026697523891925812,0.0,0.0,0.0,0.22739702463150024,0.0,0.0,0.0,0.0,0.0,0.13740526139736176,0.01676778309047222,0.0,0.0,0.0,0.0,0.0,0.023097384721040726,0.0,0.0,0.0,0.05025402456521988,0.0,0.0,0.3051462173461914,0.05521077662706375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1638609617948532,0.19233648478984833,0.0,0.0,0.27081790566444397,0.0,0.1743728518486023,0.0,0.0,0.051159292459487915,0.1433740258216858,0.0,0.07468058913946152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413844957947731
0.0,0.0,0.0,0.0,0.0740547776222229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09625858068466187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18803226947784424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14430023729801178,0.0,0.029191337525844574,0.0,0.0,0.0,0.2143910974264145,0.0,0.0,0.0,0.0,0.0,0.10945817828178406,0.044327326118946075,0.0,0.0,0.0,0.0,0.0,0.02311120741069317,0.0,0.0,0.0,0.07075411081314087,0.0,0.0,0.36012202501296997,0.048591017723083496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11444799602031708,0.18079061806201935,0.0,0.0,0.29922014474868774,0.0,0.21190084517002106,0.0,0.0,0.06166156381368637,0.1306512951850891,0.0,0.05606955289840698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.06406950950622559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09192061424255371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1182953491806984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17687548696994781,0.0,0.01916634291410446,0.0,0.0,0.0,0.2044728696346283,0.0,0.0,0.0,0.0,0.0,0.12815004587173462,0.04572440683841705,0.0,0.0,0.0,0.0,0.0,0.05338397994637489,0.0,0.0,0.0,0.07197097688913345,0.0,0.0,0.2621682286262512,0.0825614184141159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1437191367149353,0.1561017483472824,0.0,0.0,0.2589426636695862,0.0,0.1428956687450409,0.0,0.0,0.057191476225852966,0.1286366581916809,0.0,0.08539807051420212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021557707339525223
0.0,0.0,0.0,0.0,0.09898121654987335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06566523015499115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19785065948963165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889922171831131,0.0,0.07194239646196365,0.0,0.0,0.0,0.2941565215587616,0.0,0.0,0.0,0.0,0.0,0.22020258009433746,0.04631263017654419,0.0,0.0,0.0,0.0,0.0,0.0519619956612587,0.0,0.0,0.0,0.20374783873558044,0.0,0.0,0.4145956039428711,0.10869962722063065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007484644651413,0.18224979937076569,0.0,0.0,0.33839771151542664,0.0,0.2917969226837158,0.0,0.0,0.11747319996356964,0.10171138495206833,0.0,0.06813066452741623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025428760796785355
0.0,0.0,0.0,0.0,0.09817105531692505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1481241136789322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2295411080121994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15712417662143707,0.0,0.09770244359970093,0.0,0.0,0.0,0.3361160159111023,0.0,0.0,0.0,0.0,0.0,0.1337394416332245,0.07158219069242477,0.0,0.0,0.0,0.0,0.0,0.02155676856637001,0.0,0.0,0.0,0.1465986967086792,0.0,0.0,0.5044147372245789,0.05669112503528595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16245044767856598,0.2940906286239624,0.0,0.0,0.40375569462776184,0.0,0.32080715894699097,0.0,0.0,0.10571171343326569,0.22717411816120148,0.0,0.05873339623212814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03854972496628761
0.0,0.0,0.0,0.0,0.09770466387271881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07157216966152191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09385082125663757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12540297210216522,0.0,0.09354177862405777,0.0,0.0,0.0,0.24556158483028412,0.0,0.0,0.0,0.0,0.0,0.18027997016906738,0.07987140864133835,0.0,0.0,0.0,0.0,0.0,0.09626632928848267,0.0,0.0,0.0,0.15306872129440308,0.0,0.0,0.23394164443016052,0.10401104390621185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05061314254999161,0.1448490470647812,0.0,0.0,0.20167136192321777,0.0,0.1712028682231903,0.0,0.0,0.056334979832172394,0.10610503703355789,0.0,0.07255570590496063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043738991022109985
0.0,0.0,0.0,0.0,0.0741746574640274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0957908183336258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23646248877048492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2233426719903946,0.0,0.01281418651342392,0.0,0.0,0.0,0.3891616463661194,0.0,0.0,0.0,0.0,0.0,0.20657269656658173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14871424436569214,0.0,0.0,0.5191767811775208,0.1149895116686821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15861544013023376,0.3462759554386139,0.0,0.0,0.47746309638023376,0.0,0.35038816928863525,0.0,0.0,0.12823551893234253,0.19822175800800323,0.0,0.04587792605161667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06483015418052673
